EPSG,ESRI,Oracle
Abidjan_1988,D_Abidjan_1987,
Accra,D_Accra,
Adindan,D_Adindan,Adindan
Afgooye,D_Afgooye,
,,AGD 66 ACT
,,AGD 66 NT
,,AGD 66 TAS
,,AGD 66 VIC NSW
Agadez,D_Agadez,
Ain_el_Abd_1970,D_Ain_el_Abd_1970,Ain el Abd 1970
,D_Airy_1830,
,D_Alaskan_Islands,
Albanian_1987,D_Albanian_1987,
,D_Amalthea_2000,
American_Samoa_1962,D_American_Samoa_1962,
Amersfoort,D_Amersfoort,
Ammassalik_1958,,
Ancienne_Triangulation_Francaise_Paris,,
,D_Ananke_2000,
Anguilla_1957,D_Anguilla_1957,
,D_Anna_1_1965,Anna 1 Astro 1965
Antigua_1943,D_Antigua_1943,
Aratu,D_Aratu,
Arc_1950,D_Arc_1950,Arc 1950
Arc_1960,D_Arc_1960,Arc 1960
,D_Ascension_Island_1958,Ascension Island 1958
,,Astro B4 Sorol Atoll
,,Astro Beacon E
,,Astro DOS 71/4
,,Astronomic Station 1952
,,
,D_ATS_1977,
Australian_Antarctic_Datum_1998,,
Australian_Geodetic_Datum_1966,D_Australian_1966,Australian Geodetic 1966
Australian_Geodetic_Datum_1984,,Australian Geodetic 1984
Average_Terrestrial_System_1977,,
Azores_Central_Islands_1948,,
Azores_Central_Islands_1995,D_Azores_Central_Islands_1995,
Azores_Occidental_Islands_1939,D_Azores_Occidental_Islands_1939,
Azores_Oriental_Islands_1940,D_Azores_Oriental_Islands_1940,
Azores_Oriental_Islands_1995,D_Azores_Oriental_Islands_1995,
,D_Bab_South,
,D_Barbados,
Barbados_1938,D_Barbados_1938,
Batavia,D_Batavia,
Batavia_Jakarta,,
Beduaram,,
,D_Beacon_E_1945,
Beijing_1954,D_Beijing_1954,
,D_Belge_1950,
,D_Belinda_2000,
,,Belgium Hayford
,D_Bellevue_IGN,Bellevue (IGN)
,D_Bermuda_2000,
,D_Bern_1898,
Bermuda_1957,,Bermuda 1957
Bern_1938,,
Bissau,D_Bissau,
Bogota_1975,D_Bogota,Bogota Observatory
Bukit_Rimpah,,
,D_Calypso_2000,
Camacupa,D_Camacupa,
Campo_Inchauspe,D_Campo_Inchauspe,Campo Inchauspe
,D_Canton_1966,Canton Astro 1966
Cape,D_Cape,Cape
,,Cape Canaveral
,D_Carme_2000,
Carthage,D_Carthage,Carthage
Carthage_Paris,,
Centre_Spatial_Guyanais_1967,,
CH1903,D_CH1903+,
CH1903_Bern,,CH 1903 (Switzerland)
,D_Charon_2000,
